고유 아이디,고유 아이디2,파일 저장명,파일 원본명,파일 섬네일명,파일 저장 경로,파일 크기,파일 종류,사용유무,파일명
214,162,20131218194804226.jpg,143-3-JNHM-황조롱이.jpg,thum_20131218194804226.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224130943486.JPG,80128,image/jpeg,Y,황조롱이
215,163,20131218195005659.jpg,144-4-MNHM-황조롱이.jpg,thum_20131218195005659.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224131301159.jpg,2537836,image/jpeg,Y,황조롱이
70,23,20131205010641500.JPG,014_스테고사우루스_04.JPG,thum_20131205010641500.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224131707648.JPG,247913,image/jpeg,Y,스테고사우루스 골격
99,47,20131218164911380.jpg,16-1-NSMK-꿩.jpg,thum_20131218164911380.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224133208864.JPG,1763661,image/jpeg,Y,꿩
106,54,20131218165827565.jpg,43-3-JNHM-매.jpg,thum_20131218165827565.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224134413199.JPG,95461,image/jpeg,Y,매
146,94,20131218174833587.jpg,63-3-JNHM-박새.jpg,thum_20131218174833587.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135020389.jpg,111005,image/jpeg,Y,박새
148,96,20131218175044694.jpg,65-4-MNHM-박새.jpg,thum_20131218175044694.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135439718.JPG,1911768,image/jpeg,Y,박새
165,113,20131218180832442.jpg,86-1-NSMK-쇠백로.jpg,thum_20131218180832442.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135550461.JPG,54536,image/jpeg,Y,쇠백로
167,115,20131218181039299.jpg,88-3-JNHM-쇠백로.jpg,thum_20131218181039299.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131218210437497.jpg,40184,image/jpeg,Y,쇠백로
201,149,20131218192325468.jpg,129-3-JNHM-청딱다구리.jpg,thum_20131218192325468.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131218212019868.jpg,110635,image/jpeg,Y,청딱다구리
206,154,20131218193256183.gif,134-1-NSMK-큰오색딱다구리.gif,thum_20131218193256183.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131219093947160.jpg,102953,image/gif,Y,큰오색딱다구리
212,160,20131218194423035.jpg,141-1-NSMK-황조롱이.jpg,thum_20131218194423035.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131219094032141.jpg,2167025,image/jpeg,Y,황조롱이
69,23,20131205010641333.JPG,014_스테고사우루스_03.JPG,thum_20131205010641333.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131223174254591.JPG,210006,image/jpeg,Y,스테고사우루스 후면
78,27,20131205011856596.jpg,010_켄트로사우루스_01.jpg,thum_20131205011856596.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131223180126017.JPG,282186,image/jpeg,Y,켄트로사우루스 윗면
79,28,20131205012327498.JPG,004_안킬로사우루스_01.JPG,thum_20131205012327498.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131223181832507.JPG,338595,image/jpeg,Y,안킬로사우루스 측면
90,38,20131218163352621.jpg,1-1-NSMK-검은등할미새.jpg,thum_20131218163352621.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224113706985.JPG,76999,image/jpeg,Y,검은등할미새
93,41,20131218163808910.jpg,6-3-JNHM-곤줄박이.jpg,thum_20131218163808910.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224114546346.JPG,105614,image/jpeg,Y,곤줄박이
100,48,20131218165001497.jpg,17-1-SMNH-꿩.jpg,thum_20131218165001497.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224114842245.JPG,51555,image/jpeg,Y,꿩
101,49,20131218165046570.jpg,18-3-JNHM-꿩.jpg,thum_20131218165046570.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224115508174.JPG,81117,image/jpeg,Y,꿩
107,55,20131218165902293.jpg,44-4-MNHM-매.jpg,thum_20131218165902293.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224131153794.JPG,2090241,image/jpeg,Y,매
109,57,20131218170025675.jpg,99-4-MNHM-오목눈이.jpg,thum_20131218170025675.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224131708168.JPG,2236510,image/jpeg,Y,오목눈이
111,59,20131218170716397.jpg,12-1-SMNH-까치.jpg,thum_20131218170716397.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224134412558.JPG,49302,image/jpeg,Y,까치
112,60,20131218170805091.jpg,13-3-JNHM-까치.jpg,thum_20131218170805091.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224134522562.JPG,94203,image/jpeg,Y,까치
120,68,20131218171821519.gif,30-1-NSMK-동박새.gif,thum_20131218171821519.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135020493.JPG,97365,image/gif,Y,동박새
121,69,20131218172005546.jpg,32-3-JNHM-동박새.jpg,thum_20131218172005546.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135439576.JPG,64524,image/jpeg,Y,동박새
124,72,20131218172558030.jpg,36-3-JNHM-딱새.jpg,thum_20131218172558030.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135550340.JPG,149104,image/jpeg,Y,딱새
125,73,20131218172652596.jpg,37-4-MNHM-딱새.jpg,thum_20131218172652596.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135807651.JPG,1837635,image/jpeg,Y,딱새
130,78,20131218173123503.jpg,45-1-NSMK-멧비둘기.jpg,thum_20131218173123503.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135807797.JPG,2308474,image/jpeg,Y,멧비둘기
132,80,20131218173310621.jpg,47-3-JNHM-멧비둘기.jpg,thum_20131218173310621.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140020488.JPG,133461,image/jpeg,Y,멧비둘기
133,81,20131218173404600.jpg,48-4-MNHM-멧비둘기.jpg,thum_20131218173404600.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140524189.JPG,2565924,image/jpeg,Y,멧비둘기
136,84,20131218173649660.gif,50-1-NSMK-물까치.gif,thum_20131218173649660.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140524331.JPG,60971,image/gif,Y,물까치
137,85,20131218173805661.gif,51-1-NSMK-물닭.gif,thum_20131218173805661.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140842303.JPG,70221,image/gif,Y,물닭
140,88,20131218174211358.jpg,55-3-JNHM-물총새.jpg,thum_20131218174211358.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140901911.JPG,162271,image/jpeg,Y,물총새
153,101,20131218175552233.gif,70-1-NSMK-붉은머리오목눈이.gif,thum_20131218175552233.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141042169.JPG,82594,image/gif,Y,붉은머리오목눈이
164,112,20131218180734848.jpg,85-4-MNHM-쇠박새.jpg,thum_20131218180734848.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141520578.JPG,1798813,image/jpeg,Y,쇠박새
168,116,20131218181146209.jpg,89-4-MNHM-쇠백로.jpg,thum_20131218181146209.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141920021.JPG,1180857,image/jpeg,Y,쇠백로
174,122,20131218183120799.jpg,95-4-MNHM-어치.jpg,thum_20131218183120799.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141920359.JPG,2093145,image/jpeg,Y,어치
178,126,20131218183950157.jpg,104-1-SMNH-왜가리.jpg,thum_20131218183950157.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142427591.jpg,43424,image/jpeg,Y,왜가리
179,127,20131218184143273.gif,105-1-NSMK-왜가리.gif,thum_20131218184143273.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142542143.jpg,64805,image/gif,Y,왜가리
183,131,20131218184917056.jpg,109-3-JNHM-원앙.jpg,thum_20131218184917056.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142724405.JPG,66406,image/jpeg,Y,원앙
184,132,20131218185112168.jpg,110-1-SMNH-중대백로.jpg,thum_20131218185112168.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142843368.JPG,30438,image/jpeg,Y,중대백로
193,141,20131218190816412.gif,120-1-NSMK-참새.gif,thum_20131218190816412.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142843491.JPG,72970,image/gif,Y,참새
194,142,20131218191011912.jpg,122-3-JNHM-참새.jpg,thum_20131218191011912.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142849542.jpg,78730,image/jpeg,Y,참새
68,23,20131205010641186.JPG,014_스테고사우루스_02.JPG,thum_20131205010641186.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142849815.JPG,238212,image/jpeg,Y,스테고사우루스 측면
73,24,20131205010853910.JPG,004_스테고사우루스_03.JPG,thum_20131205010853910.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224144413933.jpg,334628,image/jpeg,Y,스테고사우루스 앞면
75,24,20131205010854194.JPG,004_스테고사우루스_05.JPG,thum_20131205010854194.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224144414050.JPG,179605,image/jpeg,Y,스테고사우루스 측면
76,25,20131205011100535.jpg,025_스테고사우루스_01.jpg,thum_20131205011100535.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224144735453.JPG,216405,image/jpeg,Y,스테고사우루스 측면
92,40,20131218163711697.gif,4-1-NSMK-곤줄박이.gif,thum_20131218163711697.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224144735605.JPG,105645,image/gif,Y,곤줄박이
95,43,20131218164005009.jpg,8-3-JNHM-괭이갈매기.jpg,thum_20131218164005009.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224144735895.JPG,99507,image/jpeg,Y,괭이갈매기
96,44,20131218164110062.jpg,9-4-MNHM-괭이갈매기.jpg,thum_20131218164110062.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224145021752.JPG,2202115,image/jpeg,Y,괭이갈매기
98,46,20131218164759644.gif,15-1-NSMK-깝작도요.gif,thum_20131218164759644.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224162655464.JPG,89370,image/gif,Y,깝작도요
103,51,20131218165253512.gif,20-1-NSMK-노랑턱멧새.gif,thum_20131218165253512.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163146210.JPG,60613,image/gif,Y,노랑턱멧새
105,53,20131218165745717.gif,42-1-NSMK-매.gif,thum_20131218165745717.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163226308.JPG,98567,image/gif,Y,매
113,61,20131218170859175.jpg,14-4-MNHM-까치.jpg,thum_20131218170859175.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224163921235.JPG,1673813,image/jpeg,Y,까치
114,62,20131218170953422.jpg,23-4-MNHM-노랑턱멧새.jpg,thum_20131218170953422.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224164146158.JPG,1861935,image/jpeg,Y,노랑턱멧새
116,64,20131218171126388.jpg,25-3-JNHM-논병아리.jpg,thum_20131218171126388.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171029783.JPG,80310,image/jpeg,Y,논병아리
123,71,20131218172510771.gif,34-1-NSMK-딱새.gif,thum_20131218172510771.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171215137.JPG,90295,image/gif,Y,딱새
127,75,20131218172812560.gif,38-1-NSMK-때까치.gif,thum_20131218172812560.gif,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171606728.JPG,81521,image/gif,Y,때까치
128,76,20131218172859554.jpg,40-3-JNHM-때까치.jpg,thum_20131218172859554.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224171844791.JPG,78128,image/jpeg,Y,때까치
129,77,20131218173000598.jpg,41-4-MNHM-때까치.jpg,thum_20131218173000598.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224172207495.JPG,2357486,image/jpeg,Y,때까치
131,79,20131218173222797.jpg,46-1-SMNH-멧비둘기.jpg,thum_20131218173222797.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224172800636.JPG,58558,image/jpeg,Y,멧비둘기
135,83,20131218173548979.jpg,49-1-SMNH-물까치.jpg,thum_20131218173548979.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224172917431.JPG,39827,image/jpeg,Y,물까치
