노선번호,기점,종점,상행첫차,상행막차,하행첫차,하행막차,배차간격(첨두),배차간격(비첨두),데이터기준일자
B500-2N,동원대학교,무역센터,22:50,23:25,00:20,01:00,0,0,2023-12-07
B8301,송탄버스터미널,야탑역.종합버스터미널(광역버스),05:30,20:30,07:00,22:00,40,250,2023-12-07
B신현양재MDRT,광명초등학교,양재역,06:20,21:00,07:18,21:44,40,80,2023-12-07
B110,동탄2신도시홍보관,남한산성입구.양지파출소,05:00,22:30,05:00,22:30,20,40,2023-12-07
B120,여주역,도리,06:45,18:05,07:50,19:10,55,180,2023-12-07
B130,여주역,도전4리,06:00,18:50,07:15,20:00,165,220,2023-12-07
B140,여주역,상품농협앞,07:00,18:40,08:30,20:00,210,260,2023-12-07
B2-7,광주하남교육청,쌍령1통마을회관,06:40,20:30,07:00,20:50,80,90,2023-12-07
B932,태평터미널,상활리,08:10,13:10,08:30,13:30,0,0,2023-12-07
B933,태평터미널,태평리,06:50,19:25,07:15,19:45,0,0,2023-12-07
B935A,여주역,태평터미널,17:40,17:40,00:00,00:00,0,0,2023-12-07
B935B,태평터미널,하리,00:00,00:00,20:30,20:30,720,720,2023-12-07
BM5342,수원버스터미널,잠실광역환승센터,05:00,22:20,06:00,23:40,20,40,2023-12-07
B3302,금호베스트빌,잠실역.잠실대교남단(중),05:00,22:30,06:00,23:35,15,40,2023-12-07
